언론사,섹션,발행시각,제목,URL
매일경제,세계,2026-09-26 11:50,北포로에 우크라 정계도 시끌…“젤렌스키 정치쇼”vs“합의 없었다”,https://n.news.naver.com/article/009/0005740083
한국경제,세계,2026-09-26 11:50,에어컨에서 이상한 털이…열어보니 '이게 뭐야' 깜짝,https://n.news.naver.com/article/015/0005336131
매일경제,경제,2026-09-26 11:49,“오빠 돈 많아? 타보면 비싼車 소용없어”…3천만원대 갓성비 SUV 딱 좋네 [최기성의 허브車],https://n.news.naver.com/article/009/0005740082
SBS,생활/문화,2026-09-26 11:39,[자막뉴스] 연차 안 쓰고도 '9일 연휴'…'2082년' 추석 달력에 '술렁',https://n.news.naver.com/article/055/0001391178
매일경제,사회,2026-09-26 11:32,"안산서 50대 딸, 70대 노모 살해…존속살해혐의로 현행범 체포",https://n.news.naver.com/article/009/0005740081
매일경제,정치|사회,2026-09-26 11:31,"“부를 땐 ‘나라의 아들’이라더니”…국힘, 이 대통령에 ‘지뢰사고’ 공세 지속",https://n.news.naver.com/article/009/0005740080
한국경제,경제,2026-09-26 11:24,외평채·한미투자채 150억弗 조달…대미투자 실탄 쌓는다,https://n.news.naver.com/article/015/0005336130
SBS,세계,2026-09-26 11:17,"김나현-문나윤, 다이빙 여자 싱크로 10m 플랫폼 동메달",https://n.news.naver.com/article/055/0001391176
SBS,세계,2026-09-26 11:15,"남녀 마라톤, 메달 획득 실패…남자부 박민호 8위",https://n.news.naver.com/article/055/0001391175
한국경제,사회,2026-09-26 11:11,압구정 아파트 100채 살 돈 벌었던 심형래…결국 무슨 일이,https://n.news.naver.com/article/015/0005336129
SBS,정치,2026-09-26 11:09,"정점식 ""부상 장병을 '느그 아들' 취급…육하원칙 입각해 지뢰 폭발 범인 밝혀야""",https://n.news.naver.com/article/055/0001391174
한국경제,사회,2026-09-26 11:08,靑-대법원 갈등 중심에 선 김민기 판사 누구길래,https://n.news.naver.com/article/015/0005336128
SBS,세계,2026-09-26 11:07,"남자 마라톤, 메달 획득 실패…박민호 2시간 15분 35초로 8위",https://n.news.naver.com/article/055/0001391173
한국경제,경제,2026-09-26 11:06,어쩐지 KTX 예매 어렵더니…추석기간 암표 피해 제보받는다,https://n.news.naver.com/article/015/0005336127
매일경제,사회|세계,2026-09-26 10:59,“중국인들 또 선 넘었네”…韓경복궁·日오사카성에 뜬 한푸에 ‘시끌’,https://n.news.naver.com/article/009/0005740078
SBS,정치,2026-09-26 10:57,"민주 ""매국적 행태"" VS 국힘 ""다치니까 느그 아들""",https://n.news.naver.com/article/055/0001391172
매일경제,정치,2026-09-26 10:53,"“웰컴 투 멕시코”…환대받은 이재명 대통령 부부, 한류팬과 ‘하이 파이브’",https://n.news.naver.com/article/009/0005740076
SBS,사회,2026-09-26 10:52,'암 유발 우려' 엘러간 인공유방 소비자 손해배상 소송 또 패소,https://n.news.naver.com/article/055/0001391170
SBS,사회,2026-09-26 10:52,수사지휘역량 '부적절' 평가받은 경찰 과·팀장 3년간 338명,https://n.news.naver.com/article/055/0001391171
매일경제,정치,2026-09-26 10:51,"“의원님, 뭐했다고 그돈 받아요?”…국회의원 추석 휴가비, 직장인 월급 비교해보니",https://n.news.naver.com/article/009/0005740075
